Objective Function,X1,X2,X3,X4
5591.556606172599,971.3145837500425,741.338774501628,-0.07933269011393856,-0.49918870470332044
5194.09633674043,783.9085552938213,920.4125113245052,0.04678522027077159,-0.4316758458996384
5271.03593488388,747.3179489359873,986.1673238479161,0.0820830872072994,-0.4293453820513899
5150.8401593850485,702.4253762349623,1007.5513402479278,0.10458092729507773,-0.40534153740802875
5166.652212135073,761.2168569818932,942.1719450556416,0.06199535340244078,-0.42387495957886295
5249.4724983310325,823.2851970247713,882.0495258621878,0.0201250685815485,-0.446104259962354
5785.387811824983,1020.1333188737503,711.5799499097627,-0.1058434603305386,-0.5217435597619425
5189.877597313713,729.2973071700736,986.76893630208,0.08776457386117653,-0.4124737994127857
5508.376766044723,931.2093862387854,789.5556159619387,-0.04813510486784933,-0.4851830328195698
5240.856267822948,705.5056425077903,1026.2805308813008,0.11028415705354666,-0.4138194425946353
5415.324962241039,883.9970701424164,839.2367900356144,-0.015912468373325828,-0.4706482224315385
5184.618419546902,644.7404359415715,1075.9706856971216,0.14745559156443622,-0.38581108781980816
5702.837744369915,1009.7494088772215,705.1514434143044,-0.10432265096165022,-0.5110766277836628
5276.491881510075,845.3079156544353,857.8477514133622,0.004329897488153822,-0.4533044720093407
5179.096540840329,773.5639633329786,929.7663308611851,0.05367581529414722,-0.4284724885774148
5165.523711752952,740.3564684666499,967.4711100725564,0.07759616592450524,-0.41762713267892015
5238.492434419347,689.7817588819188,1042.6484046035566,0.12189129874999216,-0.40531039938318114
5399.998792418618,907.2402474069212,797.0105848096468,-0.037287319806145414,-0.47326371669271466
5295.537968382024,767.2727563552742,968.3426487637224,0.06628816671947557,-0.429888376922148
5299.989376071744,860.2405656900195,842.2084783511914,-0.0060330324779170885,-0.45799493459046126
5381.814632344369,820.6560266449769,922.1718309413355,0.03516046390076766,-0.45773792807280717
5349.162322102977,859.0423132268966,858.2925926080703,-0.0007423356839330042,-0.46229816695093984
5466.332827147152,927.0498689961267,783.7511447818845,-0.04949350850650913,-0.4812658299538457
5217.749372015078,621.403664370475,1105.9224812506916,0.16711344644185366,-0.381172013789414
5259.795283957969,814.4461792650474,897.2936562493568,0.028220947607858315,-0.4448444914115576
5202.687435179694,734.6353656719657,983.779142497484,0.08641718510860075,-0.4163885833934127
5249.577252456927,762.4864421386656,962.3378449096872,0.06896554070380245,-0.4295444960551207
5165.542774406982,650.1968159252665,1066.1187597396795,0.14160415105177904,-0.38611100787047214
5164.637258507816,652.7154960215568,1063.3844659507631,0.14115401532101068,-0.38961369146942965
5585.949732549667,945.9473472799666,787.832159655177,-0.05433444161634926,-0.4965394850685616
